City,2010_asukkaiden_mediaanitulot_hr,2011_asukkaiden_mediaanitulot_hr,2012_asukkaiden_mediaanitulot_hr,2013_asukkaiden_mediaanitulot_hr,2014_asukkaiden_mediaanitulot_hr,2015_asukkaiden_mediaanitulot_hr,2016_asukkaiden_mediaanitulot_hr,2017_asukkaiden_mediaanitulot_hr,2018_asukkaiden_mediaanitulot_hr,2019_asukkaiden_mediaanitulot_hr,2020_asukkaiden_mediaanitulot_hr,2021_asukkaiden_mediaanitulot_hr
Joensuu,16552.0,17100.0,17745.0,18053.0,18198.0,18397.0,18584.0,18904.0,19348.0,19694.0,19899.0,20458.0
Juuka,14700.0,15099.0,15566.0,16004.0,16363.0,16344.0,16687.0,16999.0,17338.0,17819.0,18096.0,18565.0
Kitee,15361.0,15752.0,16354.0,16904.0,17035.0,17149.0,17443.0,17719.0,18030.0,18685.0,18661.0,19030.0
Kontiolahti,20184.0,21038.0,21652.0,21951.0,22216.0,22131.0,22471.0,22798.0,23399.0,23945.0,24216.0,25010.0
Lieksa,15512.0,16032.0,16772.0,17021.0,17110.0,17403.0,17587.0,17690.0,17998.0,18350.0,18575.0,18938.0
Liperi,17749.0,18669.0,19329.0,19576.0,19841.0,19929.0,20373.0,20695.0,21424.0,22010.0,22148.0,22820.0
Nurmes,14802.0,15452.0,16192.0,16614.0,16897.0,17089.0,17344.0,17874.0,18394.0,18672.0,18948.0,19444.0
Outokumpu,15069.0,15791.0,16287.0,16633.0,16797.0,17051.0,17221.0,17566.0,17974.0,18287.0,18449.0,19027.0
Polvijärvi,14426.0,15040.0,15927.0,16241.0,16835.0,17043.0,17228.0,17361.0,17951.0,18043.0,18305.0,19077.0
Rääkkylä,13922.0,14432.0,15027.0,15549.0,15919.0,15937.0,16132.0,16142.0,16772.0,17019.0,17345.0,17574.0
Tohmajärvi,15300.0,15642.0,16189.0,16521.0,17145.0,17068.0,17306.0,17832.0,18326.0,18375.0,18277.0,19214.0
Hankasalmi,15178.0,15752.0,16240.0,16758.0,17256.0,17044.0,17503.0,17982.0,18371.0,18846.0,18836.0,19879.0
Joutsa,15206.0,15662.0,16391.0,16754.0,16983.0,17218.0,17471.0,18125.0,18441.0,18833.0,19012.0,19603.0
Jyväskylä,17930.0,18525.0,19054.0,19110.0,19263.0,19433.0,19720.0,20132.0,20610.0,21118.0,21323.0,21939.0
Jämsä,17469.0,18115.0,18791.0,19103.0,19278.0,19524.0,19732.0,20163.0,20621.0,21066.0,21065.0,21813.0
Kannonkoski,14421.0,15497.0,15752.0,15932.0,16124.0,16119.0,16540.0,16761.0,17330.0,18158.0,18110.0,18551.0
Karstula,15480.0,16143.0,16403.0,16998.0,17306.0,17364.0,17464.0,17797.0,18271.0,18739.0,18777.0,19501.0
Keuruu,16905.0,17375.0,17933.0,18148.0,18430.0,18579.0,18880.0,19148.0,19373.0,19789.0,19851.0,20521.0
Kinnula,14260.0,15130.0,15439.0,15896.0,16241.0,16672.0,16798.0,17090.0,17725.0,17983.0,18269.0,18711.0
Kivijärvi,14161.0,14444.0,14947.0,15456.0,15624.0,15852.0,16182.0,17005.0,16953.0,17554.0,18256.0,18744.0
Konnevesi,15621.0,15951.0,16574.0,16854.0,17234.0,17325.0,17893.0,18490.0,18818.0,18849.0,19286.0,19644.0
Kyyjärvi,15428.0,15859.0,16188.0,16308.0,17221.0,17232.0,17755.0,17839.0,17934.0,18188.0,18277.0,19060.0
Laukaa,19224.0,20015.0,20635.0,20760.0,21112.0,21045.0,21485.0,21693.0,22322.0,22966.0,23088.0,23855.0
Luhanka,13871.0,14517.0,15463.0,16124.0,16188.0,16527.0,16998.0,17969.0,18798.0,19287.0,19451.0,21101.0
Multia,14798.0,15070.0,15378.0,16188.0,16604.0,17179.0,17321.0,17340.0,18150.0,18377.0,18040.0,18749.0
Muurame,21169.0,21981.0,22573.0,22615.0,22966.0,23100.0,23598.0,23960.0,24592.0,25420.0,25639.0,26169.0
Petäjävesi,17171.0,17502.0,18230.0,18679.0,18898.0,19043.0,19802.0,20460.0,20830.0,21328.0,21346.0,22603.0
Pihtipudas,14956.0,15597.0,16300.0,16489.0,17066.0,16966.0,17386.0,17514.0,17892.0,18462.0,18738.0,19331.0
Saarijärvi,15433.0,16129.0,16690.0,17072.0,17369.0,17640.0,17945.0,18123.0,18784.0,19107.0,19294.0,19641.0
Toivakka,16233.0,17191.0,18471.0,18887.0,19481.0,19392.0,19816.0,20382.0,21050.0,21727.0,21606.0,22629.0
Uurainen,17920.0,18667.0,19354.0,19821.0,20478.0,20470.0,20897.0,21158.0,22380.0,22573.0,23049.0,23786.0
Viitasaari,16076.0,16436.0,16794.0,17115.0,17180.0,17476.0,17770.0,18059.0,18506.0,19008.0,19394.0,19794.0
