City,2011_maapinta_ala,2012_maapinta_ala,2013_maapinta_ala,2014_maapinta_ala,2015_maapinta_ala,2016_maapinta_ala,2017_maapinta_ala,2018_maapinta_ala,2019_maapinta_ala,2020_maapinta_ala,2021_maapinta_ala,2022_maapinta_ala
Sysmä,666.91,666.91,666.91,666.89,666.89,666.89,666.3,666.3,666.3,666.3,666.22,666.76
Hamina,609.51,609.51,609.51,609.71,609.71,609.71,609.71,609.8,609.8,609.8,609.94,609.89
Kotka,271.33,271.62,271.62,272.01,272.01,272.01,272.02,272.03,271.95,271.95,271.95,272.13
Kouvola,2558.24,2558.37,2558.37,2558.31,2558.37,2558.47,2558.32,2558.24,2557.67,2557.67,2557.7,2557.63
Miehikkälä,422.22,422.23,422.23,422.23,422.26,422.26,422.24,422.47,422.47,422.5,422.51,422.63
Pyhtää,324.72,324.72,324.72,324.74,324.75,324.75,324.75,324.75,324.63,324.63,324.63,324.63
Virolahti,371.95,371.95,371.95,371.95,372.0,372.0,371.99,371.99,371.99,371.99,371.99,372.47
Imatra,154.99,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.01,155.0,154.99,154.99
Lappeenranta,1433.37,1433.35,1433.35,1433.35,1433.44,1433.33,1433.47,1433.78,1433.78,1433.79,1433.97,1433.99
Lemi,217.77,217.77,217.77,217.87,217.87,217.87,217.87,217.9,217.9,217.91,217.96,217.96
Luumäki,750.07,750.08,750.08,750.07,750.08,750.05,750.06,750.06,750.06,750.06,750.09,750.16
Parikkala,592.93,592.92,592.92,592.92,592.89,592.27,592.26,592.01,592.01,592.01,591.91,591.91
Rautjärvi,351.64,351.64,351.64,351.64,351.59,351.55,351.55,351.51,351.51,351.51,351.47,351.47
Ruokolahti,943.49,943.43,943.43,943.42,942.98,942.46,942.47,942.27,942.27,942.28,942.1,942.09
Savitaipale,539.74,539.74,539.74,539.73,539.57,539.49,539.47,539.18,539.12,539.12,539.12,539.11
Taipalsaari,345.1,345.13,345.13,345.1,344.88,344.88,344.88,344.84,344.7,344.69,344.69,344.69
Enonkoski,305.84,305.82,305.82,305.57,305.55,305.55,305.55,305.58,305.58,305.55,305.55,305.58
Hirvensalmi,465.38,465.38,465.38,465.3,465.25,465.25,465.28,465.28,465.28,465.21,465.09,465.09
Juva,1163.24,1163.03,1163.03,1162.93,1162.92,1162.92,1163.18,1163.18,1163.18,1163.19,1163.19,1163.37
Kangasniemi,1068.96,1068.84,1068.84,1068.87,1068.87,1068.85,1068.84,1068.84,1068.84,1068.88,1068.89,1068.89
Mikkeli,2549.55,2549.07,2549.07,2548.51,2548.46,2548.46,2548.54,2548.36,2548.35,2548.19,2548.18,2548.35
Mäntyharju,981.78,981.78,981.78,980.9,980.91,980.88,980.87,980.87,980.9,980.9,981.21,981.26
Pertunmaa,374.48,374.49,374.49,374.44,374.44,374.45,374.45,374.44,374.46,374.43,374.43,374.45
Pieksämäki,1568.57,1568.64,1568.64,1568.62,1568.61,1568.74,1568.7,1568.7,1568.71,1569.01,1569.03,1569.03
Puumala,794.53,794.52,794.52,794.52,794.5,794.5,794.51,794.18,794.18,794.18,794.11,794.11
Rantasalmi,559.16,559.16,559.16,559.14,559.15,559.17,559.2,559.2,559.19,559.29,559.31,559.53
Savonlinna,2239.42,2239.5,2239.5,2239.06,2239.02,2238.38,2238.21,2238.09,2238.09,2238.17,2238.11,2237.87
Sulkava,584.69,584.69,584.69,584.62,584.63,584.63,584.63,584.53,584.53,584.54,584.47,584.42
Iisalmi,762.97,762.97,762.97,762.97,762.97,763.05,763.04,763.03,763.02,762.99,762.99,762.99
Joroinen,575.18,575.19,575.19,575.09,575.13,575.13,575.12,575.12,575.13,574.9,574.9,574.89
Kaavi,674.08,674.0,674.0,674.01,674.02,674.01,674.02,674.03,674.07,674.07,674.07,674.08
Keitele,481.79,481.78,481.78,481.78,481.78,481.78,482.9,482.91,482.91,482.91,482.91,482.91
Kiuruvesi,1328.15,1328.14,1328.14,1328.13,1328.13,1328.13,1328.14,1328.14,1328.14,1328.15,1328.17,1328.19
Kuopio,3240.99,3240.99,3240.99,3241.04,3241.0,3241.01,3241.02,3241.03,3241.01,3241.02,3241.05,3241.74
Lapinlahti,1096.53,1096.51,1096.51,1096.51,1096.53,1096.61,1096.63,1096.59,1096.6,1096.7,1096.7,1096.71
Leppävirta,1136.05,1136.03,1136.03,1136.02,1136.01,1136.01,1136.0,1135.98,1135.99,1135.99,1135.99,1136.26
Pielavesi,1153.23,1153.23,1153.23,1153.23,1153.23,1153.22,1153.22,1153.22,1153.22,1153.23,1153.23,1153.23
Rautalampi,538.98,538.98,538.98,538.94,538.93,538.93,538.96,538.96,538.96,538.96,538.96,538.95
Rautavaara,1150.93,1150.93,1150.93,1150.94,1150.97,1150.96,1150.96,1150.95,1150.66,1150.64,1150.64,1150.63
Siilinjärvi,400.96,400.96,400.96,400.96,400.96,400.96,400.96,400.96,400.96,400.97,400.97,401.00
Sonkajärvi,1465.87,1465.85,1465.85,1465.82,1465.82,1465.84,1465.85,1465.92,1465.91,1465.91,1465.93,1465.93
Suonenjoki,713.54,713.55,713.55,713.54,713.54,713.54,713.54,713.54,713.55,713.56,713.56,713.56
Tervo,347.73,347.73,347.73,347.73,347.75,347.74,347.75,347.75,347.75,347.75,347.75,347.75
Tuusniemi,543.27,543.21,543.21,543.16,543.17,543.17,543.16,543.18,543.17,543.18,543.18,543.18
Varkaus,385.57,385.62,385.62,385.62,385.62,385.64,385.63,385.63,385.63,385.61,385.62,385.62
Vesanto,422.63,422.63,422.63,422.63,422.63,422.62,422.62,422.62,422.62,422.63,422.63,422.63
Vieremä,925.21,925.26,925.26,925.26,925.26,925.24,925.22,925.21,925.21,925.24,925.28,925.28
Heinävesi,1030.28,1030.28,1030.28,1029.96,1029.96,1029.96,1029.96,1029.96,1029.96,1029.96,1029.95,1029.96
Ilomantsi,2763.71,2763.57,2763.57,2763.49,2763.48,2763.48,2763.48,2763.39,2763.39,2763.39,2763.38,2763.40
Joensuu,2381.7,2381.65,2381.65,2381.66,2381.69,2381.69,2381.69,2381.65,2381.68,2381.69,2381.73,2381.79
Juuka,1501.79,1501.76,1501.76,1501.7,1501.7,1501.72,1501.73,1501.72,1501.7,1501.7,1501.7,1501.70
Kitee,1253.58,1253.59,1253.59,1253.6,1253.6,1253.59,1253.58,1253.57,1253.67,1253.66,1253.82,1253.82
Kontiolahti,799.69,799.68,799.68,799.68,799.18,799.18,799.19,799.2,799.2,799.2,799.64,799.82
Lieksa,3418.42,3418.35,3418.35,3418.06,3418.06,3418.06,3417.85,3417.89,3417.89,3417.88,3417.86,3417.86
Liperi,726.9,726.9,726.9,726.9,726.9,726.9,726.87,726.87,726.87,726.87,727.2,727.19
Nurmes,2401.41,2401.4,2401.4,2401.37,2401.35,2401.33,2401.35,2401.36,2401.37,2401.38,2401.37,2401.35
Outokumpu,445.84,445.82,445.82,445.82,445.81,445.81,445.81,445.82,445.83,445.82,445.86,445.87
Polvijärvi,804.14,804.15,804.15,804.15,804.15,804.15,804.15,804.16,804.16,804.16,804.91,804.63
Rääkkylä,427.68,427.67,427.67,427.66,427.66,427.61,427.61,427.61,427.61,427.61,427.78,427.93
Tohmajärvi,837.73,837.73,837.73,837.74,837.75,837.75,837.76,837.76,837.76,837.75,837.75,837.82
Hankasalmi,571.85,571.73,571.73,571.69,571.71,571.69,571.69,571.69,571.69,571.69,571.69,571.70
Joutsa,867.16,867.16,867.16,867.11,867.11,867.11,867.02,867.02,867.02,867.03,867.01,867.07
Jyväskylä,1171.01,1171.0,1171.0,1170.9,1170.93,1170.95,1170.97,1170.97,1170.97,1171.02,1171.02,1171.03
Jämsä,1571.32,1571.32,1571.32,1571.34,1571.23,1571.38,1571.37,1571.36,1571.37,1571.37,1571.39,1571.41
Kannonkoski,444.75,444.72,444.72,445.01,445.0,445.0,445.0,445.01,445.01,445.01,445.01,445.00
Karstula,887.26,887.26,887.26,887.18,887.07,887.07,887.06,887.07,887.07,887.08,887.07,887.06
Keuruu,1258.02,1258.03,1258.03,1258.02,1257.97,1257.97,1257.98,1257.97,1257.97,1257.96,1257.97,1257.97
Kinnula,460.23,460.24,460.24,460.18,460.19,460.19,460.18,460.2,460.2,460.2,460.2,460.20
Kivijärvi,483.94,483.95,483.95,483.95,483.94,483.94,483.96,483.96,483.96,483.97,483.96,483.96
Konnevesi,513.01,512.97,512.97,512.96,512.96,512.93,512.93,512.93,512.94,512.94,512.94,512.94
Kyyjärvi,448.22,448.22,448.22,448.22,448.22,448.22,448.21,448.2,448.2,448.2,448.18,448.22
Laukaa,648.54,648.54,648.54,648.4,648.4,648.49,648.49,648.49,648.49,648.5,648.51,648.51
