City,2010_asukkaiden_keski_ika_he,2011_asukkaiden_keski_ika_he,2012_asukkaiden_keski_ika_he,2013_asukkaiden_keski_ika_he,2014_asukkaiden_keski_ika_he,2015_asukkaiden_keski_ika_he,2016_asukkaiden_keski_ika_he,2017_asukkaiden_keski_ika_he,2018_asukkaiden_keski_ika_he,2019_asukkaiden_keski_ika_he,2020_asukkaiden_keski_ika_he,2021_asukkaiden_keski_ika_he
Kontiolahti,38.0,38.0,38.0,38.0,38.0,38.0,39.0,39.0,40.0,40.0,40.0,40.0
Lieksa,49.0,50.0,50.0,50.0,51.0,51.0,52.0,52.0,52.0,53.0,53.0,54.0
Liperi,41.0,41.0,41.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,44.0,44.0
Nurmes,48.0,49.0,49.0,49.0,50.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0
Outokumpu,46.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,48.0,48.0,49.0,49.0
Polvijärvi,46.0,46.0,47.0,47.0,48.0,48.0,48.0,49.0,50.0,50.0,50.0,51.0
Rääkkylä,50.0,50.0,51.0,51.0,52.0,53.0,54.0,54.0,54.0,55.0,56.0,57.0
Tohmajärvi,47.0,47.0,48.0,48.0,48.0,49.0,49.0,49.0,50.0,51.0,51.0,51.0
Hankasalmi,46.0,46.0,46.0,46.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,50.0
Joutsa,49.0,50.0,50.0,51.0,51.0,51.0,52.0,52.0,53.0,53.0,54.0,54.0
Jyväskylä,39.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,41.0
Jämsä,45.0,45.0,46.0,46.0,47.0,47.0,48.0,48.0,49.0,49.0,50.0,50.0
Kannonkoski,49.0,49.0,49.0,49.0,50.0,50.0,50.0,51.0,51.0,52.0,52.0,53.0
Karstula,47.0,47.0,47.0,48.0,48.0,49.0,49.0,49.0,50.0,50.0,51.0,52.0
Keuruu,46.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,49.0,50.0,50.0,50.0
Kinnula,45.0,45.0,46.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0
Kivijärvi,47.0,48.0,48.0,49.0,49.0,50.0,51.0,51.0,52.0,53.0,53.0,52.0
Konnevesi,47.0,48.0,48.0,48.0,49.0,49.0,49.0,50.0,50.0,50.0,51.0,51.0
Kyyjärvi,46.0,46.0,47.0,48.0,48.0,49.0,48.0,49.0,49.0,49.0,50.0,51.0
Laukaa,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0
Luhanka,53.0,54.0,55.0,55.0,54.0,54.0,54.0,55.0,56.0,56.0,56.0,56.0
Multia,48.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,51.0,52.0,51.0,52.0
Muurame,38.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,41.0,41.0
Petäjävesi,42.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,44.0,44.0,44.0,45.0
Pihtipudas,45.0,45.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0,49.0,49.0,50.0
Saarijärvi,46.0,46.0,47.0,47.0,47.0,48.0,48.0,49.0,49.0,49.0,50.0,50.0
Toivakka,44.0,44.0,44.0,44.0,44.0,45.0,45.0,46.0,46.0,46.0,46.0,46.0
Uurainen,39.0,39.0,38.0,38.0,39.0,38.0,39.0,39.0,39.0,40.0,40.0,40.0
Viitasaari,48.0,48.0,48.0,49.0,49.0,50.0,50.0,50.0,51.0,51.0,52.0,52.0
Äänekoski,43.0,43.0,43.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0,47.0,47.0
Alajärvi,43.0,43.0,43.0,44.0,44.0,44.0,45.0,45.0,46.0,46.0,46.0,47.0
Alavus,43.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,46.0,46.0,46.0,46.0
Evijärvi,44.0,44.0,45.0,45.0,45.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0
Ilmajoki,41.0,41.0,41.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0
Isojoki,48.0,48.0,49.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,51.0,52.0
Isokyrö,43.0,44.0,44.0,44.0,44.0,45.0,45.0,46.0,46.0,47.0,47.0,47.0
Karijoki,48.0,48.0,48.0,49.0,50.0,50.0,50.0,51.0,52.0,52.0,52.0,53.0
Kauhajoki,43.0,43.0,43.0,44.0,44.0,44.0,45.0,45.0,46.0,46.0,46.0,47.0
Kauhava,44.0,44.0,44.0,45.0,45.0,45.0,45.0,46.0,46.0,47.0,47.0,48.0
Kuortane,46.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,49.0,50.0
Kurikka,44.0,45.0,45.0,45.0,45.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0
Lappajärvi,47.0,47.0,48.0,48.0,49.0,49.0,49.0,49.0,50.0,50.0,51.0,51.0
Lapua,42.0,42.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,44.0,44.0,44.0
Seinäjoki,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,41.0
Soini,45.0,45.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0,48.0
Teuva,47.0,47.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,49.0,50.0,50.0
Vimpeli,44.0,44.0,45.0,45.0,45.0,46.0,46.0,47.0,47.0,48.0,48.0,49.0
Ähtäri,45.0,46.0,46.0,46.0,47.0,48.0,48.0,48.0,49.0,49.0,50.0,50.0
Kaskinen,48.0,49.0,50.0,50.0,51.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0
Korsnäs,45.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0
Kristiinankaupunki,48.0,48.0,49.0,49.0,50.0,50.0,50.0,51.0,51.0,51.0,52.0,51.0
Kruunupyy,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0
Laihia,41.0,41.0,42.0,42.0,41.0,42.0,42.0,42.0,42.0,43.0,43.0,44.0
Luoto,33.0,33.0,33.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
Maalahti,45.0,45.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,47.0
Mustasaari,41.0,41.0,41.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,43.0,43.0
Närpiö,46.0,46.0,46.0,47.0,47.0,47.0,47.0,46.0,47.0,47.0,46.0,46.0
Pedersören kunta,37.0,37.0,37.0,37.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
Pietarsaari,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0
Uusikaarlepyy,43.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0
Vaasa,40.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,41.0,42.0
Vöyri,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0
Halsua,46.0,47.0,47.0,47.0,48.0,47.0,48.0,48.0,49.0,50.0,50.0,50.0
Kannus,41.0,41.0,41.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,44.0,44.0
Kaustinen,41.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,42.0,43.0,43.0,44.0
Kokkola,40.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0
Lestijärvi,46.0,46.0,47.0,46.0,47.0,47.0,47.0,48.0,49.0,50.0,49.0,49.0
Perho,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,41.0,41.0
Toholampi,42.0,42.0,42.0,43.0,43.0,43.0,44.0,44.0,45.0,45.0,46.0,46.0
Veteli,44.0,45.0,45.0,45.0,45.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0
Alavieska,41.0,41.0,41.0,42.0,42.0,42.0,43.0,43.0,43.0,44.0,44.0,44.0
Haapajärvi,41.0,41.0,41.0,41.0,42.0,42.0,42.0,43.0,43.0,44.0,44.0,45.0
Haapavesi,40.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,42.0,42.0,43.0,43.0
Hailuoto,49.0,49.0,50.0,51.0,50.0,51.0,51.0,52.0,51.0,52.0,53.0,53.0
Ii,39.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0
Kalajoki,42.0,42.0,42.0,42.0,42.0,43.0,43.0,44.0,44.0,44.0,44.0,45.0
Kempele,35.0,35.0,36.0,36.0,36.0,37.0,37.0,37.0,38.0,38.0,38.0,38.0
Kuusamo,43.0,43.0,44.0,45.0,45.0,45.0,46.0,46.0,47.0,47.0,47.0,48.0
Kärsämäki,43.0,43.0,43.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0
Liminka,30.0,31.0,30.0,31.0,31.0,31.0,31.0,32.0,32.0,32.0,33.0,33.0
Lumijoki,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,37.0,38.0,38.0
Merijärvi,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0
Muhos,37.0,37.0,37.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0,40.0,40.0
Nivala,39.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,41.0,41.0
Oulainen,41.0,42.0,42.0,42.0,43.0,43.0,43.0,44.0,44.0,45.0,45.0,46.0
Oulu,37.0,37.0,37.0,37.0,37.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0
