City,2011_ulkomaalaistaustaisia,2012_ulkomaalaistaustaisia,2013_ulkomaalaistaustaisia,2014_ulkomaalaistaustaisia,2015_ulkomaalaistaustaisia,2016_ulkomaalaistaustaisia,2017_ulkomaalaistaustaisia,2018_ulkomaalaistaustaisia,2019_ulkomaalaistaustaisia,2020_ulkomaalaistaustaisia,2021_ulkomaalaistaustaisia,2022_ulkomaalaistaustaisia
Raasepori,1192.0,1261.0,1295.0,1370.0,1367.0,1435.0,1410.0,1404.0,1470.0,1538.0,1605.0,1645
Sipoo,520.0,552.0,634.0,693.0,766.0,886.0,1000.0,1061.0,1145.0,1309.0,1438.0,1499
Siuntio,213.0,210.0,240.0,243.0,264.0,316.0,326.0,323.0,354.0,388.0,453.0,475
Tuusula,903.0,1017.0,1130.0,1210.0,1328.0,1530.0,1719.0,2018.0,2231.0,2433.0,2748.0,2897
Vantaa,22768.0,25164.0,28312.0,31058.0,33841.0,37246.0,40200.0,43979.0,48147.0,52084.0,56027.0,61440
Vihti,880.0,972.0,1071.0,1157.0,1233.0,1360.0,1453.0,1579.0,1661.0,1775.0,1856.0,1919
Aura,73.0,87.0,88.0,98.0,116.0,112.0,109.0,115.0,107.0,103.0,102.0,103
Kaarina,955.0,1062.0,1163.0,1276.0,1327.0,1454.0,1561.0,1696.0,1790.0,1912.0,2018.0,2161
Kemiönsaari,161.0,174.0,189.0,206.0,229.0,259.0,281.0,258.0,267.0,258.0,261.0,247
Koski Tl,56.0,72.0,76.0,93.0,96.0,115.0,106.0,99.0,99.0,95.0,97.0,106
Kustavi,22.0,23.0,21.0,24.0,26.0,26.0,33.0,28.0,22.0,23.0,27.0,34
Laitila,202.0,242.0,272.0,329.0,362.0,435.0,485.0,608.0,657.0,708.0,768.0,842
Lieto,380.0,416.0,438.0,476.0,529.0,560.0,594.0,631.0,652.0,725.0,784.0,865
Loimaa,297.0,343.0,394.0,425.0,457.0,478.0,512.0,519.0,573.0,640.0,629.0,672
Marttila,24.0,29.0,32.0,39.0,37.0,42.0,44.0,52.0,55.0,57.0,56.0,57
