City,2011_vakiluvun_muutos,2012_vakiluvun_muutos,2013_vakiluvun_muutos,2014_vakiluvun_muutos,2015_vakiluvun_muutos,2016_vakiluvun_muutos,2017_vakiluvun_muutos,2018_vakiluvun_muutos,2019_vakiluvun_muutos,2020_vakiluvun_muutos,2021_vakiluvun_muutos,2022_vakiluvun_muutos
Föglö,-3.0,1.0,-6.0,-4.0,-14.0,7.0,-29.0,2.0,-3.0,-5.0,-25.0,3
Geta,17.0,3.0,5.0,-6.0,6.0,-1.0,-4.0,19.0,-18.0,15.0,-6.0,2
Hammarland,18.0,-4.0,18.0,-9.0,6.0,-29.0,39.0,30.0,6.0,16.0,20.0,9
Jomala,151.0,106.0,69.0,136.0,88.0,109.0,102.0,173.0,201.0,153.0,126.0,98
Kumlinge,-3.0,-23.0,-8.0,-2.0,-11.0,-9.0,6.0,1.0,-1.0,-7.0,6.0,-7
Kökar,-10.0,-4.0,6.0,3.0,-4.0,-4.0,-10.0,0.0,-4.0,-7.0,-1.0,-1
Lemland,46.0,23.0,43.0,17.0,48.0,21.0,16.0,5.0,20.0,61.0,21.0,-4
Lumparland,5.0,-7.0,21.0,5.0,-20.0,-13.0,10.0,-13.0,-16.0,6.0,4.0,-16
Maarianhamina - Mariehamn,72.0,83.0,48.0,86.0,-18.0,104.0,112.0,66.0,-64.0,26.0,37.0,15
Saltvik,8.0,13.0,-10.0,12.0,4.0,10.0,34.0,-15.0,-9.0,-43.0,4.0,-17
Sottunga,-16.0,-2.0,-1.0,1.0,-2.0,-3.0,-4.0,-1.0,-3.0,13.0,4.0,6
Sund,13.0,3.0,-6.0,6.0,-4.0,-25.0,25.0,-3.0,-5.0,-16.0,12.0,-18
Vårdö,-3.0,-27.0,11.0,6.0,2.0,-2.0,-9.0,18.0,-1.0,13.0,3.0,-12
