"MK05 Kanta-Häme"	"2028"	165568	8696	8508	5280	5610	54546	32765	23661	26502	82062	4460	4402	2766	2918	28645	16336	11294	11241	83506	4236	4106	2514	2692	25901	16429	12367	15261
"MK05 Kanta-Häme"	"2029"	164972	8592	8336	5045	5527	54191	32467	23642	27172	81776	4407	4317	2634	2893	28471	16171	11349	11534	83196	4185	4019	2411	2634	25720	16296	12293	15638
"MK05 Kanta-Häme"	"2030"	164397	8498	8167	4810	5420	53930	32165	23597	27810	81499	4359	4205	2514	2882	28397	15985	11354	11803	82898	4139	3962	2296	2538	25533	16180	12243	16007
"MK05 Kanta-Häme"	"2031"	163836	8417	8109	4574	5258	53618	31893	23542	28425	81227	4317	4177	2371	2783	28288	15841	11374	12076	82609	4100	3932	2203	2475	25330	16052	12168	16349
"MK06 Pirkanmaa"	"2021"	526118	33360	34999	17380	16860	210989	94760	63688	54082	259249	17064	17893	8827	8418	108291	47297	29917	21542	266869	16296	17106	8553	8442	102698	47463	33771	32540
"MK06 Pirkanmaa"	"2022"	528912	32797	34582	17693	17283	212620	94086	62835	57016	260728	16754	17692	9001	8639	109083	47026	29556	22977	268184	16043	16890	8692	8644	103537	47060	33279	34039
"MK06 Pirkanmaa"	"2023"	531569	32505	33955	17826	17523	214687	93517	61736	59820	262134	16597	17386	9019	8836	110096	46799	29047	24354	269435	15908	16569	8807	8687	104591	46718	32689	35466
"MK06 Pirkanmaa"	"2024"	534089	32550	33094	17793	17796	215999	93373	61095	62389	263481	16670	16894	9055	8960	110765	46742	28801	25594	270608	15880	16200	8738	8836	105234	46631	32294	36795
"MK06 Pirkanmaa"	"2025"	536491	32806	31694	17960	18096	217163	93370	60740	64662	264761	16739	16237	9136	9128	111371	46776	28648	26726	271730	16067	15457	8824	8968	105792	46594	32092	37936
"MK06 Pirkanmaa"	"2026"	538784	33198	30456	17878	18216	218073	93585	60647	66731	265986	16956	15572	9116	9148	111875	46900	28763	27656	272798	16242	14884	8762	9068	106198	46685	31884	39075
"MK06 Pirkanmaa"	"2027"	540954	33562	29441	17685	18192	219120	93707	60563	68684	267143	17117	15030	9064	9188	112356	47030	28774	28584	273811	16445	14411	8621	9004	106764	46677	31789	40100
"MK06 Pirkanmaa"	"2028"	543005	33562	28856	17104	18354	220239	93787	60647	70456	268244	17118	14709	8787	9262	113002	47065	28917	29384	274761	16444	14147	8317	9092	107237	46722	31730	41072
"MK06 Pirkanmaa"	"2029"	544962	33549	28533	16566	18260	221354	93787	60691	72222	269293	17110	14539	8504	9239	113556	47186	29066	30093	275669	16439	13994	8062	9021	107798	46601	31625	42129
"MK06 Pirkanmaa"	"2030"	546805	33527	28554	15894	18045	222215	94038	60741	73791	270288	17098	14599	8066	9181	114027	47379	29145	30793	276517	16429	13955	7828	8864	108188	46659	31596	42998
"MK06 Pirkanmaa"	"2031"	548507	33502	28788	15073	17480	223180	94274	60757	75453	271218	17088	14658	7685	8910	114512	47618	29185	31562	277289	16414	14130	7388	8570	108668	46656	31572	43891
"MK07 Päijät-Häme"	"2021"	205293	11619	12649	6658	6819	68895	41608	31203	25842	100328	5958	6521	3392	3464	35526	20647	14561	10259	104965	5661	6128	3266	3355	33369	20961	16642	15583
"MK07 Päijät-Häme"	"2022"	204716	11312	12436	6667	6881	68543	40987	30604	27286	100095	5843	6381	3368	3552	35351	20393	14212	10995	104621	5469	6055	3299	3329	33192	20594	16392	16291
"MK07 Päijät-Häme"	"2023"	204141	11084	12119	6653	6862	68408	40457	29818	28740	99863	5669	6285	3378	3518	35314	20172	13832	11695	104278	5415	5834	3275	3344	33094	20285	15986	17045
"MK07 Päijät-Häme"	"2024"	203560	10943	11792	6575	6814	68086	40060	29211	30079	99621	5608	6078	3366	3461	35207	20015	13554	12332	103939	5335	5714	3209	3353	32879	20045	15657	17747
"MK07 Päijät-Häme"	"2025"	202967	10862	11298	6584	6829	67753	39648	28694	31299	99364	5580	5820	3372	3444	35057	19845	13383	12863	103603	5282	5478	3212	3385	32696	19803	15311	18436
"MK07 Päijät-Häme"	"2026"	202378	10896	10831	6423	6827	67400	39381	28313	32307	99108	5594	5564	3319	3454	34909	19709	13252	13307	103270	5302	5267	3104	3373	32491	19672	15061	19000
"MK07 Päijät-Häme"	"2027"	201786	10843	10455	6337	6750	67034	39077	27966	33324	98848	5577	5353	3257	3446	34717	19578	13166	13754	102938	5266	5102	3080	3304	32317	19499	14800	19570
"MK07 Päijät-Häme"	"2028"	201173	10721	10177	6124	6757	66718	38649	27959	34068	98580	5514	5251	3116	3447	34608	19336	13236	14072	102593	5207	4926	3008	3310	32110	19313	14723	19996
"MK07 Päijät-Häme"	"2029"	200556	10603	9981	5966	6601	66547	38176	27860	34822	98311	5455	5098	3066	3394	34548	19095	13286	14369	102245	5148	4883	2900	3207	31999	19081	14574	20453
"MK07 Päijät-Häme"	"2030"	199927	10494	9871	5726	6503	66246	37792	27818	35477	98038	5399	5051	2928	3328	34431	18905	13323	14673	101889	5095	4820	2798	3175	31815	18887	14495	20804
"MK07 Päijät-Häme"	"2031"	199278	10394	9825	5452	6286	66081	37458	27735	36047	97757	5348	5037	2816	3189	34362	18771	13335	14899	101521	5046	4788	2636	3097	31719	18687	14400	21148
"MK08 Kymenlaakso"	"2021"	161229	8138	9365	4856	5015	51780	34915	25462	21698	79785	4085	4759	2444	2652	27411	17511	12203	8720	81444	4053	4606	2412	2363	24369	17404	13259	12978
"MK08 Kymenlaakso"	"2022"	159595	7776	9156	4902	4919	51116	34008	24999	22719	79010	3904	4624	2511	2569	27100	17077	11990	9235	80585	3872	4532	2391	2350	24016	16931	13009	13484
"MK08 Kymenlaakso"	"2023"	158008	7507	8792	4931	4846	50566	33265	24437	23664	78256	3813	4382	2545	2504	26876	16687	11751	9698	79752	3694	4410	2386	2342	23690	16578	12686	13966
"MK08 Kymenlaakso"	"2024"	156461	7360	8449	4866	4786	49933	32516	24035	24516	77515	3720	4247	2513	2458	26594	16305	11536	10142	78946	3640	4202	2353	2328	23339	16211	12499	14374
"MK08 Kymenlaakso"	"2025"	154971	7268	7991	4809	4828	49190	31927	23665	25293	76798	3667	4012	2468	2516	26212	16036	11358	10529	78173	3601	3979	2341	2312	22978	15891	12307	14764
"MK08 Kymenlaakso"	"2026"	153523	7198	7557	4641	4857	48479	31435	23548	25808	76102	3643	3782	2367	2551	25884	15748	11359	10768	77421	3555	3775	2274	2306	22595	15687	12189	15040
"MK08 Kymenlaakso"	"2027"	152113	7155	7166	4548	4793	47840	30905	23206	26500	75425	3630	3608	2306	2519	25571	15485	11228	11078	76688	3525	3558	2242	2274	22269	15420	11978	15422
"MK08 Kymenlaakso"	"2028"	150730	7024	6858	4407	4738	47331	30334	23017	27021	74762	3564	3452	2225	2477	25323	15215	11156	11350	75968	3460	3406	2182	2261	22008	15119	11861	15671
"MK08 Kymenlaakso"	"2029"	149367	6902	6635	4220	4582	46913	29757	22894	27464	74109	3502	3378	2091	2381	25149	14952	11128	11528	75258	3400	3257	2129	2201	21764	14805	11766	15936
"MK08 Kymenlaakso"	"2030"	148033	6792	6520	3989	4492	46350	29272	22662	27956	73465	3445	3304	2022	2322	24847	14706	11028	11791	74568	3347	3216	1967	2170	21503	14566	11634	16165
"MK08 Kymenlaakso"	"2031"	146725	6690	6461	3693	4361	45920	28846	22380	28374	72839	3394	3267	1878	2245	24651	14510	10888	12006	73886	3296	3194	1815	2116	21269	14336	11492	16368
"MK09 Etelä-Karjala"	"2021"	126195	6365	7257	3828	3664	42793	26310	19342	16636	62867	3318	3630	1931	1880	23011	13232	9340	6525	63328	3047	3627	1897	1784	19782	13078	10002	10111
"MK09 Etelä-Karjala"	"2022"	125381	6112	7213	3729	3751	42459	25766	19031	17320	62500	3174	3633	1873	1921	22864	12955	9159	6921	62881	2938	3580	1856	1830	19595	12811	9872	10399
"MK09 Etelä-Karjala"	"2023"	124591	5970	6909	3777	3805	42292	25179	18679	17980	62142	3111	3472	1912	1951	22767	12627	9060	7242	62449	2859	3437	1865	1854	19525	12552	9619	10738
"MK09 Etelä-Karjala"	"2024"	123835	5843	6652	3776	3770	42051	24723	18391	18629	61805	3032	3373	1881	1933	22666	12391	8929	7600	62030	2811	3279	1895	1837	19385	12332	9462	11029
"MK09 Etelä-Karjala"	"2025"	123094	5826	6330	3796	3684	41768	24310	18186	19194	61476	3001	3242	1891	1881	22532	12199	8813	7917	61618	2825	3088	1905	1803	19236	12111	9373	11277
"MK09 Etelä-Karjala"	"2026"	122360	5855	5989	3648	3733	41534	23928	18024	19649	61147	2999	3109	1795	1923	22422	11980	8734	8185	61213	2856	2880	1853	1810	19112	11948	9290	11464
"MK09 Etelä-Karjala"	"2027"	121645	5877	5677	3538	3731	41257	23644	17795	20126	60827	3010	2942	1765	1890	22313	11864	8612	8431	60818	2867	2735	1773	1841	18944	11780	9183	11695
"MK09 Etelä-Karjala"	"2028"	120951	5824	5446	3469	3749	40999	23257	17658	20549	60518	2982	2813	1755	1899	22168	11691	8552	8658	60433	2842	2633	1714	1850	18831	11566	9106	11891
"MK09 Etelä-Karjala"	"2029"	120272	5773	5321	3324	3604	40913	22895	17436	21006	60219	2957	2756	1696	1806	22132	11540	8464	8868	60053	2816	2565	1628	1798	18781	11355	8972	12138
"MK09 Etelä-Karjala"	"2030"	119591	5726	5210	3178	3505	40757	22596	17199	21420	59917	2932	2688	1627	1778	22039	11434	8357	9062	59674	2794	2522	1551	1727	18718	11162	8842	12358
