City,2011_vakiluvun_muutos_p,2012_vakiluvun_muutos_p,2013_vakiluvun_muutos_p,2014_vakiluvun_muutos_p,2015_vakiluvun_muutos_p,2016_vakiluvun_muutos_p,2017_vakiluvun_muutos_p,2018_vakiluvun_muutos_p,2019_vakiluvun_muutos_p,2020_vakiluvun_muutos_p,2021_vakiluvun_muutos_p,2022_vakiluvun_muutos_p
Vesanto,-1.5,-2.6,-1.7,-1.9,-2.4,-2.0,-2.5,-1.7,-2.1,-2.1,-1.6,-2.4
Vieremä,-0.5,-0.8,-1.4,-1.5,-1.5,-1.0,-1.0,-0.2,-2.6,-1.6,-0.9,-1.8
Heinävesi,-2.2,-2.2,-2.0,-0.8,-1.8,-1.7,-1.7,-3.6,-2.3,-1.8,-1.9,-2.4
Ilomantsi,-0.8,-2.4,-1.4,-2.0,-3.1,-1.9,-2.1,-3.0,-2.3,-2.2,-2.2,-3.3
Joensuu,0.6,0.6,0.4,0.8,0.6,0.4,0.3,0.6,0.4,0.1,0.4,0.3
Juuka,-2.4,-2.4,-2.3,-1.2,-2.1,-1.9,-2.5,-2.2,-2.2,-1.7,-1.8,-2.1
Kitee,-1.3,-1.5,-1.3,-1.9,-1.4,-1.0,-2.2,-1.2,-2.1,-2.0,-0.6,-1.5
Kontiolahti,2.0,1.8,1.2,1.8,1.0,-0.1,0.2,0.1,-0.2,0.2,1.2,0.8
Lieksa,-0.8,-1.5,-0.8,-1.5,-2.8,-1.6,-2.4,-1.8,-1.9,-1.5,-1.6,-1.6
Liperi,0.1,0.9,0.0,-0.5,0.0,-0.3,-1.2,0.0,-0.5,-0.7,-0.1,-0.1
Nurmes,-1.6,-0.6,-1.5,-1.2,-1.2,-1.8,-1.5,-2.0,-2.4,-0.5,-0.8,-1.9
Outokumpu,-0.5,-0.5,-1.1,-1.2,-0.5,-0.7,-1.2,-2.9,-1.7,-2.0,-0.7,-0.8
