City,2010_asukkaiden_keskitulot_hr,2011_asukkaiden_keskitulot_hr,2012_asukkaiden_keskitulot_hr,2013_asukkaiden_keskitulot_hr,2014_asukkaiden_keskitulot_hr,2015_asukkaiden_keskitulot_hr,2016_asukkaiden_keskitulot_hr,2017_asukkaiden_keskitulot_hr,2018_asukkaiden_keskitulot_hr,2019_asukkaiden_keskitulot_hr,2020_asukkaiden_keskitulot_hr,2021_asukkaiden_keskitulot_hr
Imatra,19568.0,20381.0,20953.0,21186.0,21547.0,21616.0,21716.0,22152.0,22601.0,23082.0,23174.0,23926.0
Lappeenranta,20017.0,20782.0,21372.0,21638.0,21582.0,21656.0,21832.0,22340.0,22754.0,23178.0,23532.0,24358.0
Lemi,19983.0,20723.0,21270.0,21585.0,21700.0,21849.0,22229.0,22931.0,23215.0,24347.0,24015.0,24773.0
Luumäki,19197.0,20222.0,20717.0,21423.0,21509.0,21464.0,21723.0,22367.0,22727.0,23155.0,23380.0,24346.0
Parikkala,17943.0,18575.0,19126.0,19525.0,20094.0,20303.0,20579.0,20771.0,21499.0,21882.0,22195.0,22988.0
Rautjärvi,20357.0,20827.0,19965.0,20646.0,20679.0,20718.0,20589.0,20702.0,21316.0,21662.0,22068.0,22452.0
Ruokolahti,20739.0,21263.0,21544.0,21921.0,22465.0,22378.0,22419.0,22602.0,23673.0,24458.0,24190.0,25761.0
Savitaipale,18340.0,19374.0,19767.0,20163.0,20450.0,20666.0,20859.0,21163.0,21909.0,22575.0,22695.0,23791.0
Taipalsaari,22388.0,23257.0,24008.0,24101.0,24202.0,24229.0,24537.0,24853.0,25731.0,26018.0,25988.0,26985.0
Enonkoski,17627.0,18368.0,18574.0,19012.0,19297.0,19765.0,19904.0,20303.0,21282.0,22194.0,21482.0,23238.0
Hirvensalmi,18437.0,19006.0,19818.0,20494.0,20542.0,20830.0,21770.0,21848.0,22978.0,23043.0,23638.0,24751.0
Juva,18262.0,18946.0,19293.0,19902.0,20319.0,20363.0,20791.0,21548.0,21778.0,22265.0,22200.0,23394.0
Kangasniemi,17873.0,18655.0,19325.0,19778.0,20119.0,20365.0,20831.0,20776.0,21877.0,22150.0,22126.0,23635.0
Mikkeli,19821.0,20535.0,21093.0,21405.0,21592.0,21724.0,22035.0,22442.0,23088.0,23454.0,23350.0,24462.0
Mäntyharju,19037.0,19887.0,20111.0,20469.0,20908.0,21144.0,21362.0,21630.0,22294.0,22955.0,22961.0,23974.0
