"139f -- Väestöennuste 2021: Väestö iän ja sukupuolen mukaan alueittain, 2021-2040"

"Alue"	"Vuosi"	"Yhteensä Yhteensä Väestö 31.12. (ennuste 2021)"	"Yhteensä 0 - 6 Väestö 31.12. (ennuste 2021)"	"Yhteensä 7 - 12 Väestö 31.12. (ennuste 2021)"	"Yhteensä 13 - 15 Väestö 31.12. (ennuste 2021)"	"Yhteensä 16 - 18 Väestö 31.12. (ennuste 2021)"	"Yhteensä 19 - 49 Väestö 31.12. (ennuste 2021)"	"Yhteensä 50 - 64 Väestö 31.12. (ennuste 2021)"	"Yhteensä 65 - 74 Väestö 31.12. (ennuste 2021)"	"Yhteensä 75 - Väestö 31.12. (ennuste 2021)"	"Miehet Yhteensä Väestö 31.12. (ennuste 2021)"	"Miehet 0 - 6 Väestö 31.12. (ennuste 2021)"	"Miehet 7 - 12 Väestö 31.12. (ennuste 2021)"	"Miehet 13 - 15 Väestö 31.12. (ennuste 2021)"	"Miehet 16 - 18 Väestö 31.12. (ennuste 2021)"	"Miehet 19 - 49 Väestö 31.12. (ennuste 2021)"	"Miehet 50 - 64 Väestö 31.12. (ennuste 2021)"	"Miehet 65 - 74 Väestö 31.12. (ennuste 2021)"	"Miehet 75 - Väestö 31.12. (ennuste 2021)"	"Naiset Yhteensä Väestö 31.12. (ennuste 2021)"	"Naiset 0 - 6 Väestö 31.12. (ennuste 2021)"	"Naiset 7 - 12 Väestö 31.12. (ennuste 2021)"	"Naiset 13 - 15 Väestö 31.12. (ennuste 2021)"	"Naiset 16 - 18 Väestö 31.12. (ennuste 2021)"	"Naiset 19 - 49 Väestö 31.12. (ennuste 2021)"	"Naiset 50 - 64 Väestö 31.12. (ennuste 2021)"	"Naiset 65 - 74 Väestö 31.12. (ennuste 2021)"	"Naiset 75 - Väestö 31.12. (ennuste 2021)"
"Inkoo"	"2021"	5282	269	369	206	203	1563	1269	770	633	2626	143	185	110	100	798	644	374	272	2656	126	184	96	103	765	625	396	361
"Inkoo"	"2022"	5244	270	351	200	198	1535	1267	761	662	2616	144	176	103	108	788	644	363	290	2628	126	175	97	90	747	623	398	372
"Inkoo"	"2023"	5213	258	323	216	191	1508	1273	741	703	2607	135	165	109	107	787	637	360	307	2606	123	158	107	84	721	636	381	396
"Inkoo"	"2024"	5184	254	308	197	190	1476	1295	728	736	2597	133	153	103	106	773	644	363	322	2587	121	155	94	84	703	651	365	414
"Inkoo"	"2025"	5161	251	288	202	184	1437	1309	721	769	2588	132	147	102	100	763	639	367	338	2573	119	141	100	84	674	670	354	431
"Inkoo"	"2026"	5137	244	270	188	195	1412	1302	746	780	2579	128	139	95	104	753	638	376	346	2558	116	131	93	91	659	664	370	434
"Inkoo"	"2027"	5116	244	257	181	181	1408	1284	745	816	2571	127	135	86	100	750	635	374	364	2545	117	122	95	81	658	649	371	452
"Inkoo"	"2028"	5096	240	259	161	182	1394	1266	765	829	2564	125	136	80	98	743	624	387	371	2532	115	123	81	84	651	642	378	458
"Inkoo"	"2029"	5076	237	250	148	173	1395	1247	765	861	2556	123	130	76	92	746	619	384	386	2520	114	120	72	81	649	628	381	475
"Inkoo"	"2030"	5059	233	247	142	165	1380	1227	791	874	2550	121	129	74	85	738	617	400	386	2509	112	118	68	80	642	610	391	488
"Inkoo"	"2031"	5046	231	246	141	150	1361	1215	804	898	2547	120	129	73	80	729	611	417	388	2499	111	117	68	70	632	604	387	510
"Järvenpää"	"2021"	45188	3281	3180	1560	1587	18192	8615	5231	3542	22000	1663	1667	770	811	9320	4083	2309	1377	23188	1618	1513	790	776	8872	4532	2922	2165
"Järvenpää"	"2022"	45873	3282	3182	1609	1610	18540	8519	5280	3851	22345	1673	1663	809	799	9493	4052	2343	1513	23528	1609	1519	800	811	9047	4467	2937	2338
"Järvenpää"	"2023"	46531	3285	3194	1671	1579	18844	8562	5220	4176	22677	1670	1670	855	787	9652	4081	2324	1638	23854	1615	1524	816	792	9192	4481	2896	2538
"Järvenpää"	"2024"	47160	3334	3138	1660	1670	19099	8564	5224	4471	22997	1695	1646	859	824	9811	4073	2325	1764	24163	1639	1492	801	846	9288	4491	2899	2707
"Järvenpää"	"2025"	47765	3398	3093	1649	1716	19288	8610	5262	4749	23303	1736	1594	878	860	9903	4118	2339	1875	24462	1662	1499	771	856	9385	4492	2923	2874
"Järvenpää"	"2026"	48340	3465	3021	1669	1769	19471	8608	5322	5015	23596	1777	1544	891	902	10001	4114	2377	1990	24744	1688	1477	778	867	9470	4494	2945	3025
"Järvenpää"	"2027"	48892	3515	2991	1638	1764	19687	8627	5392	5278	23877	1814	1522	874	906	10115	4124	2422	2100	25015	1701	1469	764	858	9572	4503	2970	3178
"Järvenpää"	"2028"	49414	3532	2982	1644	1750	19899	8636	5488	5483	24143	1823	1524	850	922	10231	4144	2482	2167	25271	1709	1458	794	828	9668	4492	3006	3316
"Järvenpää"	"2029"	49909	3544	2974	1631	1764	20077	8630	5532	5757	24395	1829	1515	842	932	10347	4152	2485	2293	25514	1715	1459	789	832	9730	4478	3047	3464
"Järvenpää"	"2030"	50377	3548	3012	1601	1737	20278	8623	5591	5987	24631	1831	1533	832	916	10444	4178	2523	2374	25746	1717	1479	769	821	9834	4445	3068	3613
"Järvenpää"	"2031"	50820	3550	3067	1547	1736	20398	8663	5622	6237	24857	1832	1568	804	893	10522	4219	2546	2473	25963	1718	1499	743	843	9876	4444	3076	3764
"Karkkila"	"2021"	8630	444	593	325	325	2710	1858	1355	1020	4282	230	286	157	153	1418	953	664	421	4348	214	307	168	172	1292	905	691	599
"Karkkila"	"2022"	8572	414	566	340	321	2681	1839	1336	1075	4265	214	278	154	166	1403	944	657	449	4307	200	288	186	155	1278	895	679	626
"Karkkila"	"2023"	8517	398	542	328	317	2664	1833	1298	1137	4250	205	262	157	163	1400	954	623	486	4267	193	280	171	154	1264	879	675	651
"Karkkila"	"2024"	8469	378	518	333	311	2628	1838	1273	1190	4235	194	250	167	151	1394	952	615	512	4234	184	268	166	160	1234	886	658	678
"Karkkila"	"2025"	8424	378	493	302	323	2596	1824	1264	1244	4219	192	238	156	150	1375	951	622	535	4205	186	255	146	173	1221	873	642	709
"Karkkila"	"2026"	8386	378	460	296	314	2573	1817	1247	1301	4207	191	227	144	153	1369	953	601	569	4179	187	233	152	161	1204	864	646	732
"Karkkila"	"2027"	8349	381	437	273	318	2549	1820	1220	1351	4196	191	223	126	161	1357	958	591	589	4153	190	214	147	157	1192	862	629	762
"Karkkila"	"2028"	8315	375	415	277	292	2524	1847	1208	1377	4186	188	211	128	151	1346	974	591	597	4129	187	204	149	141	1178	873	617	780
"Karkkila"	"2029"	8285	371	402	262	285	2488	1851	1226	1400	4177	186	204	125	140	1335	971	613	603	4108	185	198	137	145	1153	880	613	797
"Karkkila"	"2030"	8260	367	387	261	267	2480	1845	1215	1438	4169	184	195	131	125	1335	967	613	619	4091	183	192	130	142	1145	878	602	819
"Karkkila"	"2031"	8236	363	389	236	268	2456	1844	1201	1479	4162	182	195	119	126	1328	965	598	649	4074	181	194	117	142	1128	879	603	830
"Kauniainen"	"2021"	10311	649	857	492	475	3542	2029	1006	1261	4984	329	409	251	254	1760	981	477	523	5327	320	448	241	221	1782	1048	529	738
"Kauniainen"	"2022"	10434	659	852	495	469	3585	2060	1010	1304	5041	331	409	249	246	1779	1004	481	542	5393	328	443	246	223	1806	1056	529	762
"Kauniainen"	"2023"	10555	658	862	486	493	3640	2046	1019	1351	5101	337	413	235	261	1812	989	490	564	5454	321	449	251	232	1828	1057	529	787
"Kauniainen"	"2024"	10679	667	872	478	509	3652	2074	1030	1397	5159	338	418	234	264	1824	998	495	588	5520	329	454	244	245	1828	1076	535	809
"Kauniainen"	"2025"	10803	672	856	494	514	3695	2103	1041	1428	5220	338	422	233	263	1844	1012	513	595	5583	334	434	261	251	1851	1091	528	833
"Kauniainen"	"2026"	10924	675	859	498	508	3737	2131	1050	1466	5280	339	417	246	252	1856	1040	512	618	5644	336	442	252	256	1881	1091	538	848
