City,2010_asukkaiden_ostovoimakertyma_hr,2011_asukkaiden_ostovoimakertyma_hr,2012_asukkaiden_ostovoimakertyma_hr,2013_asukkaiden_ostovoimakertyma_hr,2014_asukkaiden_ostovoimakertyma_hr,2015_asukkaiden_ostovoimakertyma_hr,2016_asukkaiden_ostovoimakertyma_hr,2017_asukkaiden_ostovoimakertyma_hr,2018_asukkaiden_ostovoimakertyma_hr,2019_asukkaiden_ostovoimakertyma_hr,2020_asukkaiden_ostovoimakertyma_hr,2021_asukkaiden_ostovoimakertyma_hr
Vaasa,1.09746648E9,1.159620078E9,1.193369574E9,1.221167246E9,1.290522062E9,1.258423888E9,1.275280116E9,1.288554047E9,1.32675976E9,1.352687856E9,1.359336197E9,1.430765622E9
Vöyri,1.09050577E8,1.16721043E8,1.18845294E8,1.21819088E8,1.20854738E8,1.20455088E8,1.19752532E8,1.22283244E8,1.24312017E8,1.26343155E8,1.26752284E8,1.31672349E8
Halsua,1.9504215E7,2.0021463E7,2.0131617E7,2.0483632E7,2.0603813E7,2.0289159E7,2.001096E7,1.9943138E7,2.0748134E7,2.0591344E7,2.0183367E7,2.045596E7
Kannus,8.534868E7,8.8493863E7,9.2043403E7,9.2706228E7,9.5047096E7,9.2909457E7,9.3633801E7,9.403957E7,9.5805368E7,9.7725912E7,9.9112523E7,1.03305775E8
Kaustinen,6.5469819E7,6.7065175E7,7.0024214E7,7.2580671E7,7.2668284E7,7.3007459E7,7.2854937E7,7.5522956E7,7.6796895E7,7.7929449E7,7.6729643E7,8.082097E7
Kokkola,7.24446055E8,7.63006104E8,7.8501176E8,7.97793145E8,8.12673297E8,8.1875637E8,8.23621423E8,8.51201209E8,8.67743535E8,8.88319668E8,9.12592215E8,9.5106781E8
Lestijärvi,1.4025166E7,1.3153483E7,1.2831203E7,1.2740449E7,1.3311506E7,1.2750595E7,1.3270709E7,1.3275393E7,1.29344E7,1.313847E7,1.3101626E7,1.3548783E7
Perho,3.7640584E7,3.8176986E7,3.9125116E7,3.9949091E7,4.0152351E7,4.0289184E7,4.1200695E7,4.1584789E7,4.2194119E7,4.1870556E7,4.1620997E7,4.3428857E7
Toholampi,5.1171142E7,5.2332126E7,5.2916269E7,5.3170038E7,5.3978516E7,5.2252749E7,5.1819203E7,5.1731225E7,5.211401E7,5.1403981E7,5.187E7,5.4358903E7
Veteli,5.154525E7,5.2923717E7,5.3754406E7,5.4898792E7,5.6049228E7,5.6160664E7,5.5877208E7,5.5675654E7,5.6548582E7,5.7022464E7,5.6248644E7,5.7358541E7
