"Alue"	"Vuosi"	"Yhteensa"
"Kustavi"	"2022"	997
"Kustavi"	"2023"	1011
"Kustavi"	"2024"	1025
"Kustavi"	"2025"	1037
"Kustavi"	"2026"	1050
"Kustavi"	"2027"	1064
"Kustavi"	"2028"	1075
"Kustavi"	"2029"	1086
"Kustavi"	"2030"	1098
"Kustavi"	"2031"	1107
"Laitila"	"2021"	8454
"Laitila"	"2022"	8431
"Laitila"	"2023"	8405
"Laitila"	"2024"	8378
"Laitila"	"2025"	8351
"Laitila"	"2026"	8324
"Laitila"	"2027"	8294
"Laitila"	"2028"	8265
"Laitila"	"2029"	8233
"Laitila"	"2030"	8198
"Laitila"	"2031"	8165
"Lieto"	"2021"	20304
"Lieto"	"2022"	20457
"Lieto"	"2023"	20608
"Lieto"	"2024"	20751
"Lieto"	"2025"	20892
"Lieto"	"2026"	21028
"Lieto"	"2027"	21157
"Lieto"	"2028"	21275
"Lieto"	"2029"	21385
"Lieto"	"2030"	21480
"Lieto"	"2031"	21573
"Loimaa"	"2021"	15628
"Loimaa"	"2022"	15488
"Loimaa"	"2023"	15354
"Loimaa"	"2024"	15226
"Loimaa"	"2025"	15104
"Loimaa"	"2026"	14987
"Loimaa"	"2027"	14874
"Loimaa"	"2028"	14765
"Loimaa"	"2029"	14657
"Loimaa"	"2030"	14549
"Loimaa"	"2031"	14443
"Marttila"	"2021"	1993
"Marttila"	"2022"	1987
"Marttila"	"2023"	1984
"Marttila"	"2024"	1981
"Marttila"	"2025"	1977
"Marttila"	"2026"	1974
"Marttila"	"2027"	1969
"Marttila"	"2028"	1961
"Marttila"	"2029"	1954
"Marttila"	"2030"	1948
"Marttila"	"2031"	1940
"Masku"	"2021"	9523
"Masku"	"2022"	9506
"Masku"	"2023"	9491
"Masku"	"2024"	9474
"Masku"	"2025"	9456
"Masku"	"2026"	9442
"Masku"	"2027"	9431
"Masku"	"2028"	9422
"Masku"	"2029"	9409
"Masku"	"2030"	9397
"Masku"	"2031"	9389
"Mynämäki"	"2021"	7595
"Mynämäki"	"2022"	7546
"Mynämäki"	"2023"	7502
"Mynämäki"	"2024"	7461
"Mynämäki"	"2025"	7422
"Mynämäki"	"2026"	7385
"Mynämäki"	"2027"	7351
"Mynämäki"	"2028"	7316
"Mynämäki"	"2029"	7283
"Mynämäki"	"2030"	7255
"Mynämäki"	"2031"	7230
"Naantali"	"2021"	19503
"Naantali"	"2022"	19573
"Naantali"	"2023"	19651
"Naantali"	"2024"	19725
"Naantali"	"2025"	19800
"Naantali"	"2026"	19873
"Naantali"	"2027"	19942
"Naantali"	"2028"	20008
"Naantali"	"2029"	20075
"Naantali"	"2030"	20140
"Naantali"	"2031"	20206
"Nousiainen"	"2021"	4669
"Nousiainen"	"2022"	4649
"Nousiainen"	"2023"	4631
"Nousiainen"	"2024"	4613
"Nousiainen"	"2025"	4597
"Nousiainen"	"2026"	4581
"Nousiainen"	"2027"	4567
"Nousiainen"	"2028"	4554
