City,2011_vaesto_31_12,2012_vaesto_31_12,2013_vaesto_31_12,2014_vaesto_31_12,2015_vaesto_31_12,2016_vaesto_31_12,2017_vaesto_31_12,2018_vaesto_31_12,2019_vaesto_31_12,2020_vaesto_31_12,2021_vaesto_31_12,2022_vaesto_31_12
Pornainen,5122.0,5137.0,5145.0,5148.0,5125.0,5108.0,5121.0,5068.0,5035.0,5070.0,5066.0,5011
Porvoo,48833.0,49028.0,49426.0,49728.0,49928.0,50144.0,50159.0,50262.0,50380.0,50619.0,51149.0,51232
Pukkila,2016.0,2047.0,2036.0,2013.0,1971.0,1988.0,1940.0,1899.0,1860.0,1833.0,1848.0,1807
Raasepori,28959.0,28829.0,28695.0,28674.0,28405.0,28077.0,27851.0,27592.0,27536.0,27528.0,27484.0,27306
Sipoo,18526.0,18739.0,18914.0,19034.0,19399.0,19922.0,20310.0,20666.0,21170.0,21687.0,22190.0,22320
Siuntio,6148.0,6170.0,6183.0,6199.0,6182.0,6178.0,6146.0,6134.0,6145.0,6149.0,6198.0,6217
Tuusula,37667.0,37936.0,38125.0,38198.0,38459.0,38588.0,38646.0,38664.0,38599.0,38783.0,39718.0,40384
Vantaa,203001.0,205312.0,208098.0,210803.0,214605.0,219341.0,223027.0,228166.0,233775.0,237231.0,239206.0,242819
Vihti,28581.0,28674.0,28929.0,28995.0,28919.0,28967.0,29054.0,29211.0,29158.0,29160.0,29239.0,28913
Aura,3975.0,3971.0,3962.0,3982.0,3986.0,3984.0,3991.0,3984.0,3941.0,3959.0,3955.0,3965
Kaarina,31081.0,31363.0,31798.0,32148.0,32590.0,32738.0,33099.0,33458.0,33937.0,34667.0,35497.0,35848
Kemiönsaari,7173.0,7075.0,7012.0,6943.0,6909.0,6872.0,6793.0,6724.0,6640.0,6609.0,6614.0,6549
Koski Tl,2441.0,2450.0,2423.0,2438.0,2399.0,2416.0,2359.0,2340.0,2308.0,2292.0,2271.0,2227
Kustavi,886.0,889.0,869.0,892.0,895.0,908.0,923.0,926.0,949.0,962.0,971.0,950
Laitila,8408.0,8460.0,8487.0,8542.0,8520.0,8520.0,8610.0,8647.0,8588.0,8468.0,8456.0,8366
Lieto,18634.0,18982.0,19128.0,19209.0,19263.0,19418.0,19596.0,19831.0,19994.0,20146.0,20291.0,20497
Loimaa,16848.0,16737.0,16700.0,16607.0,16467.0,16267.0,16150.0,16032.0,15875.0,15770.0,15628.0,15392
Marttila,1998.0,2017.0,2056.0,2070.0,2028.0,2021.0,1988.0,2018.0,2013.0,1999.0,1990.0,1978
Masku,9585.0,9671.0,9729.0,9767.0,9706.0,9675.0,9656.0,9554.0,9534.0,9543.0,9612.0,9642
Mynämäki,8044.0,7978.0,7950.0,7917.0,7859.0,7842.0,7838.0,7766.0,7654.0,7645.0,7594.0,7539
Naantali,18871.0,18824.0,18859.0,18871.0,18961.0,19068.0,19167.0,19245.0,19314.0,19427.0,19579.0,19850
Nousiainen,4814.0,4846.0,4872.0,4844.0,4859.0,4815.0,4813.0,4733.0,4715.0,4693.0,4689.0,4644
Oripää,1422.0,1434.0,1423.0,1417.0,1377.0,1363.0,1382.0,1364.0,1329.0,1334.0,1337.0,1317
Paimio,10471.0,10591.0,10590.0,10628.0,10620.0,10713.0,10730.0,10832.0,10850.0,10922.0,11041.0,11138
Parainen,15505.0,15561.0,15507.0,15494.0,15457.0,15398.0,15285.0,15217.0,15132.0,15105.0,15086.0,14991
Pyhäranta,2206.0,2199.0,2177.0,2136.0,2136.0,2075.0,2077.0,2028.0,2004.0,1994.0,1985.0,1963
Pöytyä,8474.0,8569.0,8590.0,8619.0,8562.0,8503.0,8422.0,8333.0,8276.0,8229.0,8222.0,8154
Raisio,24559.0,24562.0,24565.0,24371.0,24290.0,24283.0,24234.0,24178.0,24056.0,24407.0,24810.0,24942
Rusko,5870.0,5907.0,5995.0,6045.0,6110.0,6137.0,6263.0,6251.0,6327.0,6354.0,6379.0,6428
Salo,55283.0,54858.0,54478.0,54238.0,53890.0,53546.0,52984.0,52321.0,51833.0,51562.0,51400.0,50933
Sauvo,3043.0,3033.0,3032.0,2999.0,3019.0,3047.0,3007.0,2994.0,2945.0,2950.0,2959.0,2917
Somero,9268.0,9229.0,9146.0,9173.0,9093.0,9027.0,8919.0,8828.0,8711.0,8646.0,8563.0,8426
Taivassalo,1690.0,1682.0,1667.0,1645.0,1633.0,1622.0,1654.0,1662.0,1639.0,1659.0,1677.0,1691
Turku,178630.0,180225.0,182072.0,183824.0,185908.0,187604.0,189669.0,191331.0,192962.0,194391.0,195137.0,197900
Uusikaupunki,15685.0,15499.0,15463.0,15567.0,15510.0,15404.0,15752.0,15700.0,15522.0,15378.0,15463.0,15092
Vehmaa,2353.0,2324.0,2330.0,2339.0,2276.0,2277.0,2316.0,2285.0,2293.0,2292.0,2271.0,2228
Eura,12424.0,12406.0,12368.0,12314.0,12128.0,12004.0,11910.0,11748.0,11632.0,11483.0,11417.0,11276
Eurajoki,9197.0,9282.0,9286.0,9294.0,9287.0,9418.0,9521.0,9454.0,9402.0,9452.0,9334.0,9211
Harjavalta,7504.0,7486.0,7407.0,7366.0,7296.0,7240.0,7151.0,7018.0,6931.0,6869.0,6785.0,6753
Huittinen,10638.0,10623.0,10543.0,10487.0,10473.0,10403.0,10207.0,10091.0,10044.0,9937.0,9870.0,9745
Jämijärvi,2003.0,1986.0,1971.0,1997.0,1948.0,1915.0,1867.0,1809.0,1739.0,1707.0,1685.0,1683
Kankaanpää,13926.0,13789.0,13791.0,13671.0,13562.0,13396.0,13292.0,13137.0,12906.0,12758.0,12662.0,12528
Karvia,2599.0,2545.0,2523.0,2491.0,2475.0,2449.0,2403.0,2390.0,2342.0,2322.0,2290.0,2240
Kokemäki,7922.0,7893.0,7769.0,7702.0,7591.0,7498.0,7381.0,7226.0,7103.0,7013.0,6951.0,6903
Merikarvia,3304.0,3269.0,3226.0,3246.0,3185.0,3169.0,3156.0,3115.0,3067.0,3066.0,3055.0,2967
Nakkila,5780.0,5747.0,5706.0,5651.0,5651.0,5548.0,5521.0,5437.0,5329.0,5256.0,5169.0,5072
Pomarkku,2415.0,2373.0,2340.0,2275.0,2240.0,2233.0,2166.0,2146.0,2089.0,2063.0,2013.0,1980
Pori,85078.0,85201.0,85399.0,85418.0,85363.0,85059.0,84587.0,84403.0,83934.0,83684.0,83482.0,83205
Rauma,39820.0,39842.0,39979.0,39970.0,39809.0,39614.0,39620.0,39360.0,39205.0,39040.0,38959.0,38667
Siikainen,1661.0,1641.0,1632.0,1593.0,1527.0,1494.0,1476.0,1458.0,1437.0,1385.0,1352.0,1308
Säkylä,7477.0,7381.0,7255.0,7186.0,7070.0,6988.0,6903.0,6811.0,6721.0,6646.0,6588.0,6419
Ulvila,13554.0,13470.0,13361.0,13322.0,13352.0,13312.0,13237.0,13021.0,12871.0,12735.0,12669.0,12599
Forssa,17833.0,17727.0,17667.0,17521.0,17422.0,17332.0,17185.0,17028.0,16901.0,16800.0,16573.0,16459
Hattula,9682.0,9720.0,9684.0,9738.0,9747.0,9682.0,9610.0,9475.0,9422.0,9389.0,9405.0,9359
Hausjärvi,8807.0,8866.0,8808.0,8815.0,8729.0,8641.0,8504.0,8417.0,8260.0,8175.0,8143.0,8031
Humppila,2503.0,2496.0,2463.0,2440.0,2388.0,2345.0,2290.0,2235.0,2184.0,2174.0,2166.0,2161
Hämeenlinna,67270.0,67497.0,67806.0,67976.0,68011.0,67850.0,67662.0,67532.0,67633.0,67848.0,67971.0,68043
Janakkala,16960.0,16921.0,16842.0,16840.0,16853.0,16709.0,16607.0,16447.0,16413.0,16237.0,16340.0,16280
Jokioinen,5676.0,5643.0,5595.0,5516.0,5425.0,5341.0,5286.0,5195.0,5133.0,5061.0,5046.0,4990
Loppi,8377.0,8336.0,8341.0,8291.0,8175.0,8098.0,8028.0,7861.0,7828.0,7853.0,7799.0,7749
Riihimäki,29018.0,29215.0,29318.0,29350.0,29269.0,29160.0,29021.0,28736.0,28793.0,28710.0,28521.0,28349
Tammela,6554.0,6542.0,6474.0,6395.0,6280.0,6241.0,6155.0,6081.0,6015.0,6016.0,5967.0,5879
Ypäjä,2550.0,2509.0,2483.0,2468.0,2411.0,2382.0,2372.0,2357.0,2343.0,2314.0,2282.0,2237
Akaa,17091.0,17134.0,17108.0,17052.0,17043.0,16923.0,16769.0,16611.0,16475.0,16391.0,16467.0,16473
Hämeenkyrö,10533.0,10500.0,10582.0,10610.0,10667.0,10681.0,10599.0,10510.0,10404.0,10344.0,10337.0,10257
Ikaalinen,7375.0,7346.0,7303.0,7298.0,7207.0,7128.0,7119.0,7003.0,6942.0,6866.0,6877.0,6804
Juupajoki,2046.0,2023.0,2039.0,2033.0,1988.0,1957.0,1904.0,1884.0,1844.0,1800.0,1786.0,1768
Kangasala,29891.0,30126.0,30345.0,30471.0,30607.0,31190.0,31437.0,31676.0,31868.0,32214.0,32622.0,32959
Kihniö,2179.0,2147.0,2111.0,2080.0,2038.0,1994.0,1967.0,1910.0,1865.0,1822.0,1808.0,1771
Kuhmoinen,2505.0,2438.0,2409.0,2374.0,2334.0,2286.0,2252.0,2238.0,2206.0,2161.0,2158.0,2119
Lempäälä,20888.0,21440.0,21829.0,22233.0,22536.0,22745.0,22829.0,23206.0,23523.0,23828.0,24164.0,24580
Mänttä-Vilppula,11308.0,11122.0,10898.0,10723.0,10604.0,10448.0,10256.0,9983.0,9855.0,9673.0,9563.0,9360
Nokia,32056.0,32354.0,32690.0,32847.0,33162.0,33210.0,33322.0,33527.0,33929.0,34476.0,34884.0,35346
Orivesi,9590.0,9571.0,9630.0,9579.0,9408.0,9312.0,9285.0,9221.0,9158.0,9008.0,8978.0,8935
Parkano,6982.0,6918.0,6836.0,6808.0,6766.0,6692.0,6562.0,6469.0,6404.0,6352.0,6286.0,6240
Pirkkala,17763.0,18128.0,18369.0,18689.0,18913.0,19163.0,19237.0,19368.0,19623.0,19803.0,20206.0,20405
Punkalaidun,3236.0,3203.0,3173.0,3117.0,3049.0,3003.0,2949.0,2896.0,2828.0,2785.0,2721.0,2675
Pälkäne,6882.0,6838.0,6795.0,6722.0,6676.0,6627.0,6567.0,6499.0,6435.0,6415.0,6439.0,6347
Ruovesi,4940.0,4868.0,4771.0,4689.0,4623.0,4565.0,4459.0,4398.0,4283.0,4215.0,4155.0,4114
Sastamala,25763.0,25747.0,25511.0,25372.0,25220.0,25062.0,24820.0,24651.0,24277.0,24052.0,23998.0,23734
Tampere,215168.0,217421.0,220446.0,223004.0,225118.0,228274.0,231853.0,235239.0,238140.0,241009.0,244223.0,249009
Urjala,5246.0,5174.0,5105.0,4984.0,4928.0,4858.0,4829.0,4792.0,4688.0,4644.0,4669.0,4569
Valkeakoski,21022.0,21172.0,21129.0,21162.0,21332.0,21346.0,21136.0,21137.0,20972.0,20765.0,20695.0,20703
Vesilahti,4383.0,4437.0,4473.0,4492.0,4489.0,4462.0,4460.0,4393.0,4355.0,4367.0,4444.0,4501
Virrat,7453.0,7384.0,7280.0,7157.0,7002.0,6917.0,6844.0,6739.0,6544.0,6510.0,6465.0,6395
Ylöjärvi,30942.0,31515.0,31743.0,32260.0,32738.0,32799.0,32878.0,32983.0,33254.0,33352.0,33533.0,33607
Asikkala,8498.0,8461.0,8405.0,8374.0,8287.0,8323.0,8248.0,8149.0,8083.0,8059.0,8033.0,8014
Hartola,3292.0,3205.0,3098.0,3071.0,2982.0,2924.0,2882.0,2780.0,2697.0,2655.0,2621.0,2574
Heinola,20164.0,20051.0,19979.0,19695.0,19575.0,19350.0,19128.0,18889.0,18667.0,18497.0,18344.0,18131
Hollola,24150.0,24150.0,24073.0,23996.0,23915.0,23791.0,23782.0,23602.0,23410.0,23251.0,23090.0,22943
Iitti,7002.0,6955.0,6981.0,6950.0,6910.0,6889.0,6820.0,6765.0,6711.0,6625.0,6559.0,6504
Kärkölä,4798.0,4772.0,4755.0,4647.0,4604.0,4540.0,4508.0,4451.0,4368.0,4326.0,4245.0,4198
Lahti,117335.0,118098.0,118349.0,118644.0,118743.0,119452.0,119573.0,119951.0,119823.0,119984.0,120027.0,120175
Orimattila,16369.0,16300.0,16347.0,16288.0,16326.0,16279.0,16221.0,16091.0,16003.0,15882.0,15808.0,15735
Padasjoki,3369.0,3333.0,3279.0,3197.0,3143.0,3073.0,3027.0,2963.0,2896.0,2861.0,2813.0,2750
Sysmä,4261.0,4178.0,4139.0,4097.0,4040.0,3953.0,3859.0,3753.0,3657.0,3631.0,3584.0,3504
Hamina,21403.0,21256.0,21203.0,21061.0,20851.0,20636.0,20493.0,20286.0,20111.0,19877.0,19702.0,19549
Kotka,54831.0,54873.0,54771.0,54518.0,54319.0,54187.0,53539.0,52883.0,52126.0,51668.0,51241.0,50617
Kouvola,87567.0,87296.0,86926.0,86453.0,85855.0,85306.0,84196.0,83177.0,82113.0,81187.0,80454.0,79429
Miehikkälä,2169.0,2177.0,2145.0,2123.0,2085.0,2034.0,1992.0,1940.0,1857.0,1868.0,1835.0,1791
Pyhtää,5372.0,5377.0,5384.0,5354.0,5321.0,5340.0,5264.0,5187.0,5140.0,5125.0,5119.0,5117
Virolahti,3485.0,3487.0,3435.0,3399.0,3347.0,3267.0,3207.0,3150.0,3109.0,3087.0,3040.0,2985
Imatra,28472.0,28294.0,28219.0,28037.0,27835.0,27517.0,27269.0,26932.0,26508.0,26075.0,25655.0,25208
Lappeenranta,72133.0,72424.0,72658.0,72794.0,72875.0,72872.0,72909.0,72699.0,72634.0,72662.0,72634.0,72650
Lemi,3068.0,3059.0,3130.0,3116.0,3073.0,3076.0,3063.0,3043.0,2971.0,2964.0,2917.0,2886
Luumäki,5119.0,5022.0,4992.0,4949.0,4860.0,4831.0,4747.0,4662.0,4636.0,4543.0,4473.0,4421
Parikkala,5664.0,5591.0,5509.0,5373.0,5235.0,5126.0,4969.0,4842.0,4734.0,4655.0,4567.0,4438
Rautjärvi,3832.0,3784.0,3682.0,3626.0,3537.0,3473.0,3436.0,3335.0,3226.0,3146.0,3092.0,3093
Ruokolahti,5595.0,5577.0,5507.0,5404.0,5312.0,5245.0,5218.0,5099.0,4994.0,4922.0,4913.0,4842
Savitaipale,3789.0,3764.0,3729.0,3667.0,3613.0,3534.0,3480.0,3429.0,3383.0,3326.0,3261.0,3256
Taipalsaari,4855.0,4840.0,4826.0,4798.0,4815.0,4832.0,4774.0,4715.0,4671.0,4628.0,4595.0,4559
Enonkoski,1566.0,1532.0,1522.0,1503.0,1473.0,1453.0,1416.0,1405.0,1361.0,1369.0,1362.0,1341
Hirvensalmi,2389.0,2377.0,2338.0,2326.0,2290.0,2274.0,2236.0,2152.0,2136.0,2156.0,2131.0,2091
Juva,6902.0,6783.0,6684.0,6616.0,6548.0,6421.0,6334.0,6225.0,6116.0,5932.0,5887.0,5769
Kangasniemi,5865.0,5839.0,5801.0,5693.0,5628.0,5603.0,5549.0,5452.0,5356.0,5312.0,5230.0,5154
Mikkeli,54530.0,54519.0,54635.0,54605.0,54665.0,54517.0,54261.0,53818.0,53134.0,52583.0,52122.0,51980
Mäntyharju,6393.0,6356.0,6287.0,6266.0,6159.0,6097.0,6054.0,5924.0,5791.0,5676.0,5635.0,5564
Pertunmaa,1910.0,1857.0,1842.0,1832.0,1817.0,1796.0,1739.0,1713.0,1690.0,1654.0,1644.0,1600
Pieksämäki,19700.0,19407.0,19288.0,19051.0,18801.0,18475.0,18220.0,17933.0,17682.0,17375.0,17253.0,17077
Puumala,2419.0,2374.0,2319.0,2306.0,2260.0,2234.0,2208.0,2197.0,2151.0,2137.0,2117.0,2107
Rantasalmi,3949.0,3921.0,3872.0,3815.0,3733.0,3649.0,3553.0,3514.0,3431.0,3364.0,3330.0,3308
Savonlinna,36854.0,36584.0,36256.0,35944.0,35523.0,35242.0,34664.0,33611.0,32974.0,32662.0,32547.0,32085
Sulkava,2876.0,2844.0,2794.0,2789.0,2724.0,2661.0,2588.0,2530.0,2492.0,2482.0,2430.0,2375
Iisalmi,22147.0,22135.0,22171.0,22115.0,21945.0,21767.0,21639.0,21472.0,21368.0,21124.0,20958.0,20801
Joroinen,5342.0,5291.0,5213.0,5178.0,5110.0,5039.0,4917.0,4812.0,4767.0,4689.0,4624.0,4540
Kaavi,3385.0,3315.0,3261.0,3214.0,3194.0,3154.0,3048.0,2990.0,2893.0,2807.0,2778.0,2689
Keitele,2524.0,2476.0,2427.0,2398.0,2379.0,2346.0,2309.0,2244.0,2202.0,2155.0,2095.0,2029
Kiuruvesi,9063.0,8989.0,8866.0,8752.0,8600.0,8444.0,8283.0,8153.0,7998.0,7854.0,7759.0,7597
Kuopio,112919.0,114055.0,115108.0,116171.0,116921.0,117740.0,118209.0,118664.0,119282.0,120210.0,121543.0,122594
Lapinlahti,10386.0,10289.0,10176.0,10093.0,9982.0,9882.0,9692.0,9617.0,9485.0,9358.0,9247.0,9099
Leppävirta,10405.0,10274.0,10170.0,10015.0,9953.0,9865.0,9782.0,9650.0,9454.0,9402.0,9280.0,9177
Pielavesi,5006.0,4926.0,4824.0,4787.0,4740.0,4697.0,4624.0,4498.0,4391.0,4321.0,4269.0,4140
Rautalampi,3481.0,3444.0,3426.0,3374.0,3303.0,3288.0,3255.0,3196.0,3121.0,3053.0,3033.0,2964
Rautavaara,1848.0,1813.0,1784.0,1768.0,1737.0,1723.0,1698.0,1651.0,1602.0,1561.0,1513.0,1477
Siilinjärvi,21311.0,21431.0,21567.0,21668.0,21794.0,21768.0,21657.0,21674.0,21423.0,21251.0,21293.0,21232
Sonkajärvi,4600.0,4493.0,4454.0,4336.0,4278.0,4199.0,4075.0,3967.0,3897.0,3841.0,3777.0,3672
Suonenjoki,7577.0,7496.0,7456.0,7419.0,7390.0,7312.0,7266.0,7145.0,7064.0,6931.0,6891.0,6763
Tervo,1700.0,1704.0,1669.0,1627.0,1608.0,1611.0,1585.0,1567.0,1520.0,1503.0,1479.0,1441
Tuusniemi,2820.0,2795.0,2802.0,2750.0,2719.0,2643.0,2597.0,2551.0,2477.0,2433.0,2420.0,2394
Varkaus,22606.0,22340.0,22107.0,21860.0,21638.0,21468.0,21155.0,20829.0,20466.0,20278.0,19973.0,19759
Vesanto,2390.0,2328.0,2288.0,2244.0,2191.0,2148.0,2094.0,2058.0,2014.0,1972.0,1941.0,1894
Vieremä,3962.0,3930.0,3874.0,3816.0,3757.0,3721.0,3685.0,3676.0,3579.0,3522.0,3490.0,3427
Heinävesi,3827.0,3742.0,3667.0,3638.0,3574.0,3514.0,3455.0,3329.0,3254.0,3196.0,3136.0,3061
Ilomantsi,5834.0,5693.0,5614.0,5504.0,5336.0,5237.0,5128.0,4973.0,4857.0,4749.0,4643.0,4492
Joensuu,73758.0,74168.0,74471.0,75041.0,75514.0,75848.0,76067.0,76551.0,76850.0,76935.0,77261.0,77513
Juuka,5453.0,5324.0,5203.0,5140.0,5034.0,4938.0,4817.0,4709.0,4606.0,4527.0,4444.0,4352
Kitee,11515.0,11341.0,11197.0,10986.0,10832.0,10719.0,10486.0,10358.0,10136.0,9933.0,9877.0,9727
Kontiolahti,14000.0,14245.0,14422.0,14681.0,14827.0,14806.0,14830.0,14849.0,14821.0,14857.0,15035.0,15157
Lieksa,12585.0,12399.0,12303.0,12117.0,11772.0,11580.0,11297.0,11098.0,10884.0,10719.0,10543.0,10372
Liperi,12286.0,12397.0,12396.0,12335.0,12338.0,12301.0,12150.0,12145.0,12084.0,11994.0,11979.0,11962
Nurmes,10796.0,10729.0,10570.0,10444.0,10320.0,10130.0,9983.0,9784.0,9552.0,9501.0,9423.0,9243
Outokumpu,7377.0,7343.0,7262.0,7172.0,7139.0,7091.0,7003.0,6803.0,6688.0,6552.0,6506.0,6457
Polvijärvi,4778.0,4728.0,4664.0,4609.0,4556.0,4514.0,4414.0,4307.0,4246.0,4201.0,4161.0,4084
Rääkkylä,2532.0,2490.0,2467.0,2435.0,2349.0,2268.0,2240.0,2181.0,2126.0,2066.0,2032.0,1960
Tohmajärvi,4992.0,4897.0,4876.0,4794.0,4738.0,4653.0,4571.0,4482.0,4361.0,4307.0,4241.0,4160
Hankasalmi,5491.0,5453.0,5404.0,5307.0,5240.0,5159.0,5019.0,4939.0,4875.0,4782.0,4683.0,4601
Joutsa,4958.0,4898.0,4857.0,4782.0,4688.0,4673.0,4567.0,4467.0,4377.0,4297.0,4263.0,4171
Jyväskylä,132062.0,133482.0,134658.0,135780.0,137368.0,138850.0,140188.0,141305.0,142400.0,143420.0,144473.0,145887
Jämsä,22507.0,22354.0,22138.0,21808.0,21542.0,21259.0,20877.0,20607.0,20182.0,19887.0,19767.0,19347
Kannonkoski,1544.0,1553.0,1520.0,1475.0,1462.0,1424.0,1408.0,1353.0,1339.0,1323.0,1311.0,1269
Karstula,4462.0,4376.0,4343.0,4286.0,4268.0,4232.0,4146.0,4031.0,3949.0,3858.0,3774.0,3665
Keuruu,10574.0,10488.0,10310.0,10177.0,10117.0,9992.0,9919.0,9762.0,9605.0,9486.0,9443.0,9250
Kinnula,1816.0,1764.0,1769.0,1766.0,1745.0,1699.0,1656.0,1615.0,1620.0,1597.0,1581.0,1554
Kivijärvi,1334.0,1303.0,1259.0,1244.0,1200.0,1161.0,1132.0,1103.0,1096.0,1107.0,1088.0,1064
Konnevesi,2924.0,2904.0,2846.0,2831.0,2757.0,2753.0,2748.0,2698.0,2627.0,2593.0,2586.0,2521
Kyyjärvi,1503.0,1469.0,1431.0,1399.0,1379.0,1375.0,1352.0,1343.0,1313.0,1288.0,1232.0,1196
Laukaa,18286.0,18481.0,18588.0,18709.0,18865.0,18970.0,18978.0,18927.0,18903.0,18823.0,18788.0,18775
Luhanka,802.0,773.0,763.0,761.0,761.0,756.0,734.0,707.0,690.0,699.0,703.0,692
Multia,1847.0,1816.0,1777.0,1763.0,1710.0,1663.0,1636.0,1584.0,1566.0,1558.0,1488.0,1477
Muurame,9438.0,9569.0,9572.0,9700.0,9791.0,9941.0,10097.0,10170.0,10164.0,10267.0,10426.0,10486
Petäjävesi,4065.0,4095.0,4125.0,4081.0,4008.0,3981.0,3920.0,3900.0,3841.0,3772.0,3678.0,3651
Pihtipudas,4500.0,4441.0,4354.0,4261.0,4221.0,4202.0,4127.0,4053.0,4032.0,3931.0,3873.0,3786
Saarijärvi,10380.0,10258.0,10165.0,10084.0,9915.0,9690.0,9589.0,9415.0,9309.0,9208.0,9117.0,8975
Toivakka,2475.0,2455.0,2466.0,2472.0,2431.0,2432.0,2384.0,2406.0,2388.0,2401.0,2387.0,2407
Uurainen,3507.0,3569.0,3594.0,3611.0,3666.0,3717.0,3747.0,3783.0,3681.0,3646.0,3634.0,3592
Viitasaari,7065.0,6957.0,6895.0,6780.0,6666.0,6607.0,6411.0,6264.0,6176.0,6097.0,6070.0,5951
Äänekoski,20334.0,20265.0,20077.0,19909.0,19646.0,19374.0,19144.0,18851.0,18765.0,18577.0,18318.0,18120
Alajärvi,10327.0,10268.0,10227.0,10171.0,10006.0,9899.0,9831.0,9700.0,9562.0,9419.0,9311.0,9183
Alavus,12385.0,12341.0,12228.0,12103.0,12044.0,11907.0,11713.0,11544.0,11468.0,11332.0,11197.0,11102
Evijärvi,2747.0,2686.0,2685.0,2651.0,2576.0,2535.0,2499.0,2473.0,2425.0,2408.0,2404.0,2346
Ilmajoki,11898.0,12022.0,12099.0,12181.0,12159.0,12167.0,12205.0,12187.0,12269.0,12294.0,12366.0,12369
Isojoki,2354.0,2290.0,2257.0,2198.0,2123.0,2079.0,2032.0,1976.0,1951.0,1925.0,1891.0,1852
Isokyrö,4936.0,4886.0,4854.0,4842.0,4785.0,4712.0,4673.0,4601.0,4522.0,4471.0,4480.0,4406
Karijoki,1527.0,1514.0,1462.0,1409.0,1369.0,1349.0,1329.0,1274.0,1245.0,1207.0,1192.0,1200
Kauhajoki,14191.0,14167.0,14081.0,14007.0,13875.0,13772.0,13610.0,13375.0,13184.0,13007.0,12890.0,12750
Kauhava,17265.0,17202.0,17065.0,16908.0,16784.0,16599.0,16278.0,16022.0,15726.0,15514.0,15312.0,15116
Kuortane,3906.0,3849.0,3819.0,3727.0,3715.0,3690.0,3637.0,3572.0,3551.0,3534.0,3528.0,3437
Kurikka,22625.0,22466.0,22309.0,22073.0,21734.0,21501.0,21203.0,20952.0,20678.0,20456.0,20197.0,19890
Lappajärvi,3436.0,3383.0,3317.0,3259.0,3215.0,3176.0,3140.0,3078.0,2996.0,2925.0,2866.0,2820
Lapua,14530.0,14650.0,14692.0,14733.0,14609.0,14575.0,14494.0,14427.0,14278.0,14221.0,14203.0,14099
Seinäjoki,58703.0,59556.0,60354.0,60880.0,61530.0,62052.0,62676.0,63288.0,63781.0,64130.0,64736.0,65323
Soini,2360.0,2329.0,2284.0,2273.0,2224.0,2186.0,2114.0,2085.0,2052.0,2007.0,1997.0,1942
Teuva,5847.0,5767.0,5656.0,5543.0,5482.0,5363.0,5269.0,5158.0,5076.0,4994.0,4952.0,4862
Vimpeli,3222.0,3205.0,3171.0,3106.0,3073.0,3025.0,2974.0,2901.0,2827.0,2784.0,2756.0,2671
Ähtäri,6412.0,6363.0,6271.0,6178.0,6068.0,5985.0,5906.0,5703.0,5616.0,5522.0,5484.0,5406
