City,2011_suomenkielisia,2012_suomenkielisia,2013_suomenkielisia,2014_suomenkielisia,2015_suomenkielisia,2016_suomenkielisia,2017_suomenkielisia,2018_suomenkielisia,2019_suomenkielisia,2020_suomenkielisia,2021_suomenkielisia,2022_suomenkielisia
Saarijärvi,10288.0,10148.0,10056.0,9964.0,9795.0,9564.0,9436.0,9291.0,9191.0,9087.0,8988.0,8841
Toivakka,2458.0,2441.0,2444.0,2452.0,2412.0,2409.0,2360.0,2380.0,2363.0,2376.0,2361.0,2374
Uurainen,3474.0,3533.0,3558.0,3574.0,3620.0,3668.0,3697.0,3736.0,3635.0,3600.0,3587.0,3545
Viitasaari,6989.0,6874.0,6824.0,6712.0,6598.0,6525.0,6325.0,6178.0,6078.0,5990.0,5955.0,5819
Äänekoski,20056.0,19976.0,19779.0,19607.0,19328.0,19028.0,18815.0,18533.0,18407.0,18211.0,17949.0,17761
Alajärvi,10111.0,10054.0,9976.0,9912.0,9773.0,9692.0,9610.0,9465.0,9296.0,9119.0,9018.0,8860
Alavus,12273.0,12210.0,12078.0,11956.0,11871.0,11735.0,11536.0,11364.0,11287.0,11137.0,11002.0,10855
Evijärvi,2649.0,2582.0,2557.0,2524.0,2445.0,2413.0,2377.0,2348.0,2297.0,2284.0,2266.0,2207
Ilmajoki,11780.0,11885.0,11960.0,12045.0,12029.0,12026.0,12071.0,12018.0,12099.0,12085.0,12145.0,12138
Isojoki,2282.0,2220.0,2183.0,2123.0,2042.0,1997.0,1942.0,1888.0,1864.0,1838.0,1805.0,1768
Isokyrö,4863.0,4816.0,4776.0,4764.0,4715.0,4643.0,4604.0,4522.0,4443.0,4395.0,4397.0,4316
Karijoki,1486.0,1469.0,1421.0,1373.0,1332.0,1310.0,1296.0,1245.0,1212.0,1176.0,1158.0,1161
Kauhajoki,13967.0,13919.0,13786.0,13689.0,13546.0,13429.0,13267.0,13032.0,12837.0,12639.0,12499.0,12326
Kauhava,16900.0,16779.0,16573.0,16395.0,16247.0,16045.0,15730.0,15478.0,15163.0,14933.0,14719.0,14520
Kuortane,3858.0,3792.0,3765.0,3670.0,3648.0,3627.0,3576.0,3514.0,3487.0,3462.0,3460.0,3371
Kurikka,22300.0,22123.0,21934.0,21667.0,21326.0,21107.0,20789.0,20541.0,20254.0,20025.0,19752.0,19422
Lappajärvi,3346.0,3270.0,3187.0,3130.0,3100.0,3068.0,2994.0,2918.0,2849.0,2781.0,2721.0,2669
Lapua,14254.0,14333.0,14334.0,14367.0,14237.0,14194.0,14119.0,14015.0,13872.0,13813.0,13790.0,13666
Seinäjoki,57649.0,58358.0,59029.0,59421.0,60012.0,60433.0,61021.0,61580.0,61906.0,62144.0,62579.0,62875
Soini,2340.0,2307.0,2262.0,2248.0,2202.0,2168.0,2098.0,2067.0,2034.0,1980.0,1967.0,1913
Teuva,5773.0,5691.0,5571.0,5448.0,5386.0,5255.0,5165.0,5060.0,4967.0,4888.0,4836.0,4725
Vimpeli,3197.0,3179.0,3147.0,3082.0,3051.0,3002.0,2946.0,2871.0,2785.0,2745.0,2704.0,2616
Ähtäri,6356.0,6297.0,6209.0,6115.0,6005.0,5917.0,5842.0,5637.0,5545.0,5458.0,5403.0,5314
Kaskinen,929.0,911.0,879.0,855.0,828.0,831.0,812.0,801.0,784.0,781.0,773.0,745
Korsnäs,70.0,68.0,73.0,72.0,71.0,80.0,66.0,70.0,73.0,75.0,75.0,76
